Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
schlvote,RotBoost,9,"{'adaboost_base_estimator__max_depth': 2, 'adaboost_learning_rate': 0.5007489517627773, 'n_estimators': 7, 'n_estimators_of_adaboost': 1, 'n_features_per_subset': 4}",0.666666667,0.5,0.5,0.333333333,0.75,0.916666667,0.115002394,2.971288136
schlvote,RotBoost,10,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.03794771184917744, 'n_estimators': 1, 'n_estimators_of_adaboost': 8, 'n_features_per_subset': 6}",1,1,0,1,1,1,0.109999895,0.085755757
seeds,RotationForest,1,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 72, 'n_features_per_subset': 5}",0.968253968,0.952380952,0.023809524,0.958333333,1,1,0.286997795,0.560852586
seeds,RotationForest,2,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'n_features_per_subset': 5}",0.968253968,0.952380952,0.023809524,0.958333333,1,1,0.365001202,0.550257466
seeds,RotationForest,3,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 91, 'n_features_per_subset': 2}",0.968253968,0.952380952,0.023809524,0.958333333,0.993197279,0.987244898,0.500000715,0.555555656
seeds,RotationForest,4,"{'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 40, 'n_features_per_subset': 5}",0.968253968,0.952380952,0.023809524,0.958333333,1,1,0.250995874,0.566115455
seeds,RotationForest,5,"{'max_depth': None, 'min_samples_leaf': 6, 'min_samples_split': 7, 'n_estimators': 52, 'n_features_per_subset': 2}",0.936507937,0.904761905,0.047619048,0.925925926,0.989795918,0.984920635,0.338996649,0.560848801
seeds,RotationForest,6,"{'max_depth': None, 'min_samples_leaf': 6, 'min_samples_split': 7, 'n_estimators': 52, 'n_features_per_subset': 2}",0.968253968,0.952380952,0.023809524,0.958333333,1,1,0.370001554,0.582007504
seeds,RotationForest,7,"{'max_depth': 57, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 57, 'n_features_per_subset': 5}",0.841269841,0.761904762,0.119047619,0.8,0.952380952,0.920665842,0.266002893,0.581993628
seeds,RotationForest,8,"{'max_depth': None, 'min_samples_leaf': 8, 'min_samples_split': 9, 'n_estimators': 91, 'n_features_per_subset': 2}",1,1,0,1,1,1,0.498988152,0.587309479
seeds,RotationForest,9,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 34, 'n_features_per_subset': 5}",1,1,0,1,1,1,0.149997711,0.560853847
seeds,RotationForest,10,"{'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 36, 'n_features_per_subset': 2}",1,1,0,1,1,1,0.244996071,0.571450228
seeds,RotBoost,1,"{'adaboost_base_estimator__max_depth': 6, 'adaboost_learning_rate': 0.4913111496540328, 'n_estimators': 8, 'n_estimators_of_adaboost': 10, 'n_features_per_subset': 5}",0.936507937,0.904761905,0.047619048,0.916666667,1,1,0.465007305,1.677233075
seeds,RotBoost,2,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.3993809904766381, 'n_estimators': 6, 'n_estimators_of_adaboost': 2, 'n_features_per_subset': 6}",0.968253968,0.952380952,0.023809524,0.958333333,0.993197279,0.987244898,0.152002573,1.645489345
seeds,RotBoost,3,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.9993584670493182, 'n_estimators': 10, 'n_estimators_of_adaboost': 4, 'n_features_per_subset': 2}",0.968253968,0.952380952,0.023809524,0.958333333,0.993197279,0.987244898,0.377010822,1.656045359
seeds,RotBoost,4,"{'adaboost_base_estimator__max_depth': 2, 'adaboost_learning_rate': 0.5747619328921916, 'n_estimators': 9, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 5}",0.968253968,0.952380952,0.023809524,0.958333333,1,1,0.476002455,1.698422054
seeds,RotBoost,5,"{'adaboost_base_estimator__max_depth': 3, 'adaboost_learning_rate': 0.6238684741254122, 'n_estimators': 4, 'n_estimators_of_adaboost': 7, 'n_features_per_subset': 2}",0.936507937,0.904761905,0.047619048,0.925925926,0.986394558,0.976001512,0.205005884,1.656348112
seeds,RotBoost,6,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.9341006430761548, 'n_estimators': 8, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 2}",0.936507937,0.904761905,0.047619048,0.925925926,1,1,0.443004131,1.687802966
seeds,RotBoost,7,"{'adaboost_base_estimator__max_depth': 8, 'adaboost_learning_rate': 0.6165447784183296, 'n_estimators': 7, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 5}",0.841269841,0.761904762,0.119047619,0.8,0.955782313,0.926489384,0.359003067,1.656110955
seeds,RotBoost,8,"{'adaboost_base_estimator__max_depth': 8, 'adaboost_learning_rate': 0.39428021540961367, 'n_estimators': 8, 'n_estimators_of_adaboost': 7, 'n_features_per_subset': 5}",1,1,0,1,1,1,0.342002153,1.650793843
seeds,RotBoost,9,"{'adaboost_base_estimator__max_depth': 6, 'adaboost_learning_rate': 0.4913111496540328, 'n_estimators': 8, 'n_estimators_of_adaboost': 10, 'n_features_per_subset': 5}",1,1,0,1,1,1,0.44400835,1.650806457
seeds,RotBoost,10,"{'adaboost_base_estimator__max_depth': 8, 'adaboost_learning_rate': 0.23588123805870445, 'n_estimators': 8, 'n_estimators_of_adaboost': 3, 'n_features_per_subset': 5}",0.968253968,0.952380952,0.023809524,0.958333333,0.993197279,0.987244898,0.239997149,1.661373825
semeion,RotationForest,1,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 76, 'n_features_per_subset': 6}",0.98625,0.93125,0.0076341,0.935626751,0.995483537,0.975586355,10.72404122,0.242188307
semeion,RotationForest,2,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100, 'n_features_per_subset': 5}",0.98875,0.944068627,0.006255057,0.946936275,0.994869186,0.967710424,13.29004717,0.238673068
semeion,RotationForest,3,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 80, 'n_features_per_subset': 6}",0.99125,0.95620098,0.004861178,0.957957516,0.997622957,0.981013856,14.11534667,0.244962556
semeion,RotationForest,4,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 79, 'n_features_per_subset': 6}",0.991194969,0.955,0.004895105,0.959346405,0.998387723,0.987992095,14.83224821,0.259548627
semeion,RotationForest,5,"{'max_depth': 142, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 90, 'n_features_per_subset': 6}",0.993710692,0.968333333,0.003491647,0.969436275,0.998842916,0.991654017,13.62605739,0.242221091
semeion,RotationForest,6,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 79, 'n_features_per_subset': 6}",0.981132075,0.905833333,0.010470085,0.914699149,0.995114608,0.973438351,11.40732741,0.242854213
semeion,RotationForest,7,"{'max_depth': 162, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 95, 'n_features_per_subset': 6}",0.991194969,0.955,0.004890249,0.956931875,0.997055815,0.976927726,11.94102025,0.23646381
semeion,RotationForest,8,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 87, 'n_features_per_subset': 5}",0.988679245,0.943333333,0.00628885,0.94627451,0.997722093,0.982494267,16.08748674,0.260161516
semeion,RotationForest,9,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 71, 'n_features_per_subset': 6}",0.987421384,0.937083333,0.006983294,0.940686275,0.996316854,0.975499126,10.13514805,0.258969352
semeion,RotationForest,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 88, 'n_features_per_subset': 6}",0.988679245,0.943333333,0.006279138,0.944932306,0.998015087,0.986185132,15.91930604,0.243036776
semeion,RotBoost,1,"{'adaboost_base_estimator__max_depth': 6, 'adaboost_learning_rate': 0.7771105803579704, 'n_estimators': 10, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 5}",0.98875,0.94375,0.006245211,0.94451564,0.996037476,0.974886868,61.71756864,3.417438428
semeion,RotBoost,2,"{'adaboost_base_estimator__max_depth': 5, 'adaboost_learning_rate': 0.9894316573707331, 'n_estimators': 10, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 6}",0.9925,0.96245098,0.004166801,0.963562092,0.997314895,0.982397791,61.71134472,2.281781191
semeion,RotBoost,3,"{'adaboost_base_estimator__max_depth': 6, 'adaboost_learning_rate': 0.9695822402002777, 'n_estimators': 10, 'n_estimators_of_adaboost': 9, 'n_features_per_subset': 5}",0.9925,0.962867647,0.004171523,0.965359477,0.998873795,0.991411627,61.95822024,2.366898311
